1,0.0019
2,0.00355
3,0.00555
4,0.0075
5,0.00995
6,0.0129
7,0.0152
8,0.0175
9,0.02005
10,0.0227
11,0.02535
12,0.02855
13,0.0311
14,0.0338
15,0.0362
16,0.03855
17,0.04105
18,0.04315
19,0.0464
20,0.0492
21,0.0517
22,0.05445
23,0.05765
24,0.06185
25,0.0657
26,0.0693
27,0.07305
28,0.0773
29,0.0815
30,0.085
31,0.0889
32,0.09245
33,0.09635
34,0.10015
35,0.10425
36,0.1084
37,0.1126
38,0.1163
39,0.12025
40,0.12375
41,0.12745
42,0.13125
43,0.1353
44,0.13925
45,0.14285
46,0.1465
47,0.1502
48,0.15365
49,0.1578
50,0.16165
51,0.1654
52,0.16935
53,0.17285
54,0.17685
55,0.1803
56,0.1841
57,0.1873
58,0.19155
59,0.19575
60,0.19935
61,0.2038
62,0.20785
63,0.212
64,0.2151
65,0.21865
66,0.22235
67,0.2254
68,0.22865
69,0.23185
70,0.235
71,0.2385
72,0.2419
73,0.24585
74,0.249
75,0.2524
76,0.25615
77,0.2599
78,0.2628
79,0.2667
80,0.27055
81,0.27435
82,0.27775
83,0.28175
84,0.28565
85,0.289
86,0.2928
87,0.29605
88,0.29935
89,0.30245
90,0.3057
91,0.30945
92,0.31285
93,0.3167
94,0.3199
95,0.32365
96,0.3272
97,0.33065
98,0.33335
99,0.3363
100,0.3363
